,0
10,"[1.1261709321556812e-122, -1.8801799328542457e-120, -5.228269125274812e-119, 7.299438302855557e-117, 9.647216740092678e-115, 5.217603991227252e-113, -6.567421963924267e-112, -4.526707297200831e-109, -5.3661857592714316e-107, -3.822042156941362e-105, -1.2191271058065735e-103, 1.186488152797283e-101, 2.616388366617036e-99, 2.8540191042627917e-97, 2.126486280825584e-95, 8.991471837211764e-94, -3.335621204366831e-92, -1.2017899107545884e-89, -1.5300520674187812e-87, -1.3403733299365566e-85, -7.977423081428225e-84, -1.3346246156042455e-82, 4.359396903894192e-80, 7.633480198263355e-78, 7.999299355469919e-76, 5.898687611014865e-74, 2.4211967430673155e-72, -1.13277272918817e-70, -3.650587587872387e-68, -4.523320099019516e-66, -3.752014866378924e-64, -1.8644533685456944e-62, 3.1731288580918326e-61, 1.9845746397139516e-58, 2.6177607988453144e-56, 2.137620005567908e-54, 8.978116285670703e-53, -4.9100930949093994e-51, -1.42202758895679e-48, -1.5478146376644057e-46, -9.181892635545931e-45, 6.141828925829181e-44, 8.4031652250927e-41, 1.0161328099828283e-38, 5.566445435057181e-37, -1.8112704353622467e-35, -6.732487936354803e-33, -5.895403727835202e-31, -4.9072305722412666e-30, 4.487779014930113e-27, 4.433121705951089e-25, -2.4377765153422267e-24, -3.950874934146734e-21, -2.0290164394766086e-19, 2.5803432794278764e-17, 2.3464353052388525e-15, -2.2969623068676575e-13, -1.4174870888481972e-11, 3.039512755194866e-09, -2.15213027678488e-07, 9.059894947796039e-06, -0.00025547159407876183, 0.005002633411164502, -0.06792570475029396, 0.619154041644047, -3.5188677733707023, 10.522763264945342, -6.8474237347097375, 51.15117696126302]"
11,"[-3.462402577096898e-123, 5.451096824180504e-121, 1.8591872811752196e-119, -1.8477288225053355e-117, -2.821491985425039e-115, -1.7760721750454322e-113, -1.2977648994733022e-112, 1.102908537830443e-109, 1.5345001033801762e-107, 1.2552183742178605e-105, 5.870296908879282e-104, -1.2208172552885895e-102, -6.233666555770986e-100, -8.109147358089435e-98, -7.061415003787987e-96, -4.1238577482374735e-94, -6.102121776051872e-93, 2.332448315058146e-90, 3.9919887156949586e-88, 4.178501841642396e-86, 3.1501011363385775e-84, 1.443283910789002e-82, -3.3114099099894505e-81, -1.6639043799567892e-78, -2.2653682829939068e-76, -2.1012342623026648e-74, -1.3584008575778897e-72, -3.5491400709161295e-71, 5.683057607221524e-69, 1.1481502777936815e-66, 1.264399760811441e-64, 9.5587509961135e-63, 3.8926552678749404e-61, -2.081172141652073e-59, -6.280784921720768e-57, -7.48902384122787e-55, -5.698477162646476e-53, -2.0097847866395433e-51, 1.8606024658912583e-49, 4.2922851988872284e-47, 4.4224589016777246e-45, 2.4821290811134095e-43, -3.4615593025138857e-42, -2.5275215892289874e-39, -2.967306641988896e-37, -1.6087864419568186e-35, 5.250187137642824e-34, 1.9579541987512593e-31, 1.7508589578097856e-29, 2.2118133411860173e-28, -1.238217797456049e-25, -1.3113784052510971e-23, -4.7532771431649204e-23, 1.046008368297124e-19, 6.424198758810724e-18, -5.769389389696938e-16, -6.482529889307906e-14, 4.4974168004271546e-12, 3.7330018773809696e-10, -5.5708545934554417e-08, 3.0281259376701126e-06, -9.317451325924131e-05, 0.0017540660241869928, -0.019837291548113953, 0.11934597853876551, -0.2305548920715611, -0.3313202510909557, -3.8237354173795826, 51.46692266464233]"
12,"[1.068278963117962e-122, -1.7543739047079572e-120, -5.187867241556681e-119, 6.571270384090795e-117, 9.028377117336499e-115, 5.1104839568423077e-113, -3.220444504256471e-112, -4.0366079065431563e-109, -4.9929532000465385e-107, -3.705611976499575e-105, -1.3542563921431141e-103, 9.033653629282225e-102, 2.3192448612413634e-99, 2.651349754723678e-97, 2.070591480690697e-95, 9.82153623708076e-94, -1.6349533510430497e-92, -1.0141584550889349e-89, -1.3871136945871133e-87, -1.2792841528168766e-85, -8.241022500179946e-84, -2.248788817765596e-82, 3.1798606197664734e-80, 6.595579277399333e-78, 7.404802504005573e-76, 5.867788698583147e-74, 2.8795196466902676e-72, -4.036533697787138e-71, -2.9285306123666813e-68, -4.0477990692257886e-66, -3.6504670990618504e-64, -2.121445300614088e-62, -1.5853159785891757e-61, 1.49358965140154e-58, 2.299557576627022e-56, 2.0952565675785782e-54, 1.1142844643507821e-52, -1.3838045275287292e-51, -1.1045661209981114e-48, -1.4073435235247115e-46, -1.0023415534199546e-44, -1.8001350185325282e-43, 5.875647270572293e-41, 8.962000344860476e-39, 6.281062616915638e-37, 1.7289539802857246e-36, -4.959752357392329e-33, -5.621615459883661e-31, -1.8048346400969577e-29, 2.8515714222265204e-27, 4.044440730108712e-25, 9.286983078884524e-24, -2.6616358922182024e-21, -2.2736381922764316e-19, 1.2284019054616161e-17, 2.1219641735096334e-15, -1.0115371177570255e-13, -1.4021752217709727e-11, 1.7475361313640569e-09, -9.087599021070809e-08, 2.7555875479959983e-06, -5.1665557768527045e-05, 0.0005701058886525465, -0.002675157531313714, -0.013830428534948817, 0.26277467154343975, -1.352433424106665, 2.229472618256563, 49.4932186126709]"
13,"[-6.245507429466855e-123, 1.1038906523053716e-120, 2.4843524442113504e-119, -4.779921895556023e-117, -5.683444552131602e-115, -2.6578987137973364e-113, 9.378238373197136e-112, 3.074105342046135e-109, 3.274301560171031e-107, 2.071828658879166e-105, 3.562947373475053e-104, -1.0902891613735202e-101, -1.829544831592987e-99, -1.792091651284057e-97, -1.1802499021510966e-95, -3.242778048849222e-94, 4.543196424000892e-92, 9.365797930691617e-90, 1.0410016436839e-87, 8.153310647671117e-86, 3.923999820044411e-84, -6.44350754792751e-83, -4.15435272252165e-80, -5.7714704159862495e-78, -5.364942195446003e-76, -3.415941403095712e-74, -7.831283052722951e-73, 1.6166947085962787e-70, 3.0754590480322595e-68, 3.286987303665794e-66, 2.381950820138849e-64, 8.324788966594454e-63, -7.368663006606846e-61, -1.773587511405643e-58, -1.9806285376052818e-56, -1.3964281514871454e-54, -3.5704579916489054e-53, 6.573427695787034e-51, 1.2219000316369167e-48, 1.1438671828851123e-46, 5.3707957164152815e-45, -2.4103852463946807e-43, -7.694629014471137e-41, -7.859694085675657e-39, -3.3314787467692814e-37, 2.62537917842311e-35, 5.905506385885661e-33, 4.381911392930886e-31, -3.9085353516903714e-30, -4.151633189404986e-27, -3.4871008739303435e-25, 6.862844848354313e-24, 3.5223483794898104e-21, 1.5148975239672655e-19, -2.3993083657560113e-17, -1.960613755650453e-15, 2.0423144171342954e-13, 1.2221912728564169e-11, -2.557678388508261e-09, 1.6932187927456962e-07, -6.386748932623238e-06, 0.000152998469642316, -0.0023778047841971506, 0.02344243534414241, -0.13699195831203398, 0.4049320053514726, -0.34603445065394534, 0.8491694869942155, 49.717115529378255]"
14,"[-9.354807527998865e-123, 1.5477421680620432e-120, 4.436118616473167e-119, -5.900585459077946e-117, -7.940831839333464e-115, -4.3856168264499177e-113, 4.233214995128939e-112, 3.643507797783071e-109, 4.3992409904460464e-107, 3.1885746732871742e-105, 1.0795842034619197e-103, -9.004339762159603e-102, -2.1035855054125688e-99, -2.3373749858183503e-97, -1.773789967292327e-95, -7.851182060914532e-94, 2.2591660374892942e-92, 9.526316981882072e-90, 1.2441147065860413e-87, 1.1103749401891286e-85, 6.802519972705266e-84, 1.3995627273847848e-82, -3.3263824342999734e-80, -6.136857735408771e-78, -6.582885104726035e-76, -4.9783390375956626e-74, -2.1825180963140537e-72, 7.483099777112486e-71, 2.8884651065695927e-68, 3.706694535022451e-66, 3.165936260030841e-64, 1.6678236941893043e-62, -1.2792445937267842e-61, -1.5513628324032074e-58, -2.151338948167031e-56, -1.8295360604075241e-54, -8.469574137018236e-53, 3.082361380338876e-51, 1.1292361135169152e-48, 1.3032362656889625e-46, 8.366539856006264e-45, 3.725986723813462e-44, -6.449826809100714e-41, -8.555214863845223e-39, -5.285364110727803e-37, 7.493781348470638e-36, 5.274053956190553e-33, 5.241158638371513e-31, 1.122038268986895e-29, -3.271838532460482e-27, -3.9144362674011614e-25, -4.729734757217751e-24, 2.9349327350079188e-21, 2.1110631855737523e-19, -1.5361167907154968e-17, -2.1303572915992016e-15, 1.2391056085816154e-13, 1.410266861687753e-11, -1.906079149828336e-09, 1.0051769182299199e-07, -2.948967003047432e-06, 4.8599581852379707e-05, -0.00032226899873926063, -0.0030926233639277855, 0.08359193534770089, -0.7206182585206493, 2.686533579769531, 0.1706266262066387, 49.9647767384847]"
15,"[2.0366383847408203e-122, -3.4262952013615156e-120, -9.311760083610015e-119, 1.3508593204449783e-116, 1.7628747854718387e-114, 9.388727254322211e-113, -1.4032675521359236e-111, -8.440956777589354e-109, -9.882461897195435e-107, -6.954769124916192e-105, -2.1168345890642673e-103, 2.3150430567935002e-101, 4.91566496078846e-99, 5.301177051723196e-97, 3.9061319621338214e-95, 1.6013491322869741e-93, -6.938416181720178e-92, -2.29538605927889e-89, -2.8828098929339017e-87, -2.5033924683997502e-85, -1.4697601147453518e-83, -2.163643788923021e-82, 8.514504456932896e-80, 1.459496978401858e-77, 1.518240739164381e-75, 1.1126557569229366e-73, 4.4909123202443966e-72, -2.266338061388799e-70, -7.043485600991899e-68, -8.688445366998231e-66, -7.202128192184886e-64, -3.5839952162360828e-62, 6.0466737457557e-61, 3.821199352479881e-58, 5.065127810483907e-56, 4.170280093356871e-54, 1.7973779552686354e-52, -8.92457244472725e-51, -2.7305523871352105e-48, -3.029629161882269e-46, -1.8566452111953748e-44, 3.2407178649017236e-44, 1.5817585097877598e-40, 1.993449455674562e-38, 1.1631297385022594e-36, -2.5911048688141794e-35, -1.2693284906108146e-32, -1.1919168770226472e-30, -1.9212152858226388e-29, 8.080109696649634e-27, 8.918402839700154e-25, 4.827020272049955e-24, -7.14688312369322e-21, -4.525976896927438e-19, 4.111321407407126e-17, 4.78008389241172e-15, -3.4714073800236757e-13, -3.057930156386536e-11, 4.9688654914706585e-09, -3.0263886732739145e-07, 1.0870682180163555e-05, -0.0002539737851449149, 0.0039479718336921, -0.04023793984968822, 0.2572129816152062, -0.9683974830587498, 2.1625724975267033, -2.8878692878686527, 50.551631418863934]"
16,"[1.2304015966072324e-124, -1.3735680382794692e-122, -8.44739871134867e-121, 2.3413797534396726e-120, 4.8077770317719645e-117, 5.367541439248248e-115, 3.786376013676717e-113, 1.6602913435901394e-111, -1.654894844090405e-110, -1.412777170101334e-107, -2.0734095739243524e-105, -2.2406301888290416e-103, -1.999914616403016e-101, -1.4397661875440428e-99, -6.631848739668467e-98, 1.9536023700488792e-96, 9.775045776853085e-94, 1.5219553616963361e-91, 1.7156697004722125e-89, 1.5187796495322935e-87, 9.854077659470909e-86, 2.453415743219794e-84, -5.1427772685870157e-82, -1.1068481041743676e-79, -1.3899769812805752e-77, -1.3031885525722483e-75, -8.830539293908311e-74, -2.574642965561167e-72, 3.956269031840184e-70, 8.911814007023634e-68, 1.0940195310525395e-65, 9.578826797695347e-64, 5.394860770729222e-62, -1.7195971280780046e-61, -5.242642738492093e-58, -8.127157574168891e-56, -7.896063384606773e-54, -4.759443997295203e-52, -2.961279186865801e-52, 4.3277009600088524e-48, 6.47647345726164e-46, 5.521400600909701e-44, 1.996346048129396e-42, -2.26316426163374e-40, -4.954475118565435e-38, -4.5543315275791385e-36, -1.3374228940573078e-34, 2.5379846483026465e-32, 4.271555834835088e-30, 2.4765007811475942e-28, -1.3598177264736443e-26, -3.63777145641433e-24, -1.8939445666367043e-22, 2.011330937229205e-20, 3.022793914711017e-18, -6.165883419382442e-17, -3.053937743454346e-14, 7.601325831648435e-13, 2.714577718182399e-10, -3.047110357164686e-08, 1.6274606274581297e-06, -5.312866742560567e-05, 0.0011271427225212857, -0.015596803947030195, 0.1362488756249982, -0.69874636647469, 1.756141591893976, 0.8252670170193108, 49.610174638032916]"
17,"[7.902888819998501e-123, -1.3614467865159965e-120, -3.3792226089140756e-119, 5.62737946667295e-117, 6.9956741398596445e-115, 3.492638112037532e-113, -8.614390113070763e-112, -3.5665708556625163e-109, -3.968346383417646e-107, -2.6429706133499204e-105, -6.279934883802765e-104, 1.1361742219818516e-101, 2.0993777147813674e-99, 2.1457543543585426e-97, 1.4884653383488812e-95, 5.046604886930732e-94, -4.257551298922408e-92, -1.0338692066833073e-89, -1.2080258797086148e-87, -9.889597583587902e-86, -5.217155655817411e-84, 6.6544999438630435e-84, 4.304177496811766e-80, 6.451778409613684e-78, 6.267490043268113e-76, 4.230128006246343e-74, 1.2857369637296766e-72, -1.513622284969412e-70, -3.3224088939740044e-68, -3.736011799939837e-66, -2.8485167893769962e-64, -1.159271019749954e-62, 6.332029393015073e-61, 1.8857962914270572e-58, 2.2264888537647543e-56, 1.6582844089919413e-54, 5.301914069176913e-53, -6.261611999830242e-51, -1.319256082765815e-48, -1.3029498246772582e-46, -6.729360019632977e-45, 1.9026349233352592e-43, 8.14281694120656e-41, 8.846936074650646e-39, 4.191659467031045e-37, -2.396730633848777e-35, -6.342906807818988e-33, -5.055725181456705e-31, 3.487372201917969e-31, 4.345034435382898e-27, 3.9503328791345237e-25, -4.592827388549335e-24, -3.725365667170376e-21, -1.810290757382761e-19, 2.4262964015636197e-17, 2.185164767343079e-15, -2.0610470826298173e-13, -1.3681902439827699e-11, 2.6709367641718936e-09, -1.742663611208991e-07, 6.58593043041987e-06, -0.00016094265312298115, 0.0026189703240320026, -0.028197418245128572, 0.19421443374449104, -0.803360582724076, 1.8450112632020104, -3.2119466320167964, 50.42252655029297]"
18,"[-1.593594505672425e-123, 3.4683405077933646e-121, 7.72842095561098e-121, -2.0243342587833562e-117, -1.6829931251644654e-115, -2.469582575519647e-114, 9.667956622801184e-112, 1.3677127924483738e-109, 1.0111328533451925e-107, 2.776501643272945e-106, -4.236075297700559e-104, -8.209649288511821e-102, -8.364935582938553e-100, -5.494435292364946e-98, -1.2335723813082333e-96, 2.701050515375222e-94, 5.079866437694991e-92, 5.4370969916785815e-90, 4.019506417589541e-88, 1.5761904813818591e-86, -9.725467413354563e-85, -2.823687185267703e-82, -3.526265206070272e-80, -3.037299501457964e-78, -1.680743745891826e-76, 2.9934144785146185e-77, 1.442604895847348e-72, 2.2199896470183138e-70, 2.168725188875147e-68, 1.4098617236738675e-66, 2.798820569586521e-65, -7.960064233860217e-63, -1.4495614728350534e-60, -1.4917712316733718e-58, -9.70283557994109e-57, -1.3802171523916873e-55, 6.468134633556288e-53, 1.0670294658042079e-50, 9.734134366580294e-49, 4.487797787380395e-47, -2.2938070252248013e-45, -7.169696051245466e-43, -7.725082351776669e-41, -3.90491121315944e-39, 1.832649449714436e-37, 5.829312914568527e-35, 5.481996513098276e-33, 1.1785795652089438e-31, -3.6537012831235227e-29, -4.938585370507724e-27, -1.5141571833335974e-25, 3.176693345076482e-23, 3.917464370025742e-21, -3.1668451022502687e-20, -3.8153123739999394e-17, -1.0108191087591923e-15, 3.4759234338942496e-13, 4.098278850814478e-12, -3.5386052220785964e-09, 3.057833154791797e-07, -1.4113221446658264e-05, 0.00041244200510823063, -0.008011188963219746, 0.10400565206643625, -0.8826028283742496, 4.637712735724422, -13.323947048813436, 12.52643111309177, 47.71386159261068]"
19,"[1.680021120931121e-122, -2.4124021439166226e-120, -1.0459961400672258e-118, 6.193116693124514e-117, 1.224787008681813e-114, 9.291065636141814e-113, 2.701531016098168e-111, -3.128887476357205e-109, -6.080559703836961e-107, -5.999658004949873e-105, -3.8681913072901126e-103, -1.0092646049046774e-101, 1.4619543892837392e-99, 2.8995500450689355e-97, 3.153311822584244e-95, 2.4536701098239736e-93, 1.2327134047709924e-91, -4.931162167618745e-91, -1.031581321649027e-87, -1.5205510282786963e-85, -1.4974613450718404e-83, -1.0812497145270248e-81, -4.667947918017176e-80, 1.408594083471416e-78, 5.812278164484387e-76, 7.701030414191511e-74, 7.069832557915224e-72, 4.592960761876379e-70, 1.325733382586953e-68, -1.6458918111283252e-66, -3.511120229616893e-64, -3.91949101045491e-62, -3.0154488916706756e-60, -1.3245758510121997e-58, 4.5917074462343453e-57, 1.7164570424983714e-54, 2.0993402252837374e-52, 1.6198612355175397e-50, 6.0811665248394455e-49, -4.428032704044785e-47, -1.0871840734067289e-44, -1.1081909284875546e-42, -5.97444487280841e-41, 1.0849992074668043e-39, 6.091961699269062e-37, 6.566073642212051e-35, 2.9160958658194814e-33, -1.8883543811309871e-31, -4.331844247701053e-29, -2.9073283427678397e-27, 6.642371680347518e-26, 2.854845331023925e-23, 1.6601973338914085e-21, -1.1549702946557616e-19, -1.8911443372718922e-17, 2.329210553516808e-16, 1.5055796169711504e-13, -3.0831866652431906e-12, -1.0413024818746067e-09, 1.0283602819571724e-07, -4.882101962540367e-06, 0.0001429065664341816, -0.002752865316063011, 0.0352333532000859, -0.2916757108021856, 1.4543891152597863, -3.762093229132868, 4.642843751805977, 49.652441851298015]"
20,"[9.195748116205528e-124, 3.2975059430204247e-122, -1.8243742558793166e-119, -1.6679735504307195e-117, -9.26639798321477e-117, 1.3513573987496863e-113, 1.8353517847671186e-111, 1.3400925324251197e-109, 3.185175105390258e-108, -6.82631433645518e-106, -1.2773206246601362e-103, -1.3261722258676956e-101, -9.166332070886517e-100, -2.6891566304421675e-98, 3.6728740683849638e-96, 7.961028334441855e-94, 9.220613370062834e-92, 7.5823990377445755e-90, 3.9840004760236604e-88, -2.283365813472336e-87, -3.758841167293071e-84, -5.695115604349734e-82, -5.7242086619749484e-80, -4.107326052847505e-78, -1.5377634566065094e-76, 1.1117616051815772e-74, 3.0522959449816294e-72, 3.80383503931838e-70, 3.2870912243534384e-68, 1.820135634460512e-66, -2.1254616173415354e-66, -1.6013385682727973e-62, -2.4274018109134968e-60, -2.3012346053157813e-58, -1.370333413897931e-56, -5.6179706330901625e-56, 1.1053545099509833e-52, 1.6727331728554706e-50, 1.467776790172685e-48, 6.474599352735837e-47, -3.662504757189095e-45, -1.0766218751355407e-42, -1.149565233446122e-40, -5.913749426987793e-39, 2.4052989315354756e-37, 8.270724076582548e-35, 8.008123488253503e-33, 2.0981791697861353e-31, -4.7646921923252627e-29, -6.912854433955988e-27, -2.5400881016925147e-25, 3.9169302800228004e-23, 5.389629876540008e-21, 8.128709457293537e-21, -4.829944298771173e-17, -1.7241256691674753e-15, 4.1875710668189806e-13, 9.046331667415022e-12, -4.297432984847026e-09, 3.371357063908177e-07, -1.4250003463322293e-05, 0.00037687247343654197, -0.006464215464276955, 0.07111923411334298, -0.47792461012233856, 1.7832483091620468, -3.201048303599495, 3.475056935359629, 49.38890139261881]"
21,"[-6.59950387992103e-125, 1.2766715098061108e-122, -1.4854930051196916e-121, -7.040761965424443e-119, -2.9197489861663567e-117, 2.940705789225072e-115, 5.3592012520491e-113, 3.574487809601478e-111, -3.8657029984179265e-110, -3.914061593153778e-107, -5.312090792483636e-105, -4.2056014695214426e-103, -1.3788172357742176e-101, 1.8525966110377486e-99, 4.230203109147185e-97, 4.9844545033509894e-95, 4.005871548617092e-93, 1.7890587429389297e-91, -8.446355548096807e-90, -3.0278877315337784e-87, -4.1305843048183554e-85, -3.899383293668733e-83, -2.522520960278789e-81, -5.041887244405978e-80, 1.5000681768232434e-77, 2.890062403779937e-75, 3.2901089353756446e-73, 2.6569033248317903e-71, 1.256681059316179e-69, -4.152495660767889e-68, -1.8078193196120897e-65, -2.4884130374856144e-63, -2.276792289586025e-61, -1.300510616208347e-59, 4.9922073039138125e-59, 1.2636174547625862e-55, 1.890551485678007e-53, 1.716997148665652e-51, 8.524307837175183e-50, -3.0307323196380333e-48, -1.2220208739339183e-45, -1.4830306652788511e-43, -9.795993321238152e-42, 5.89729343977561e-43, 8.986781819732409e-38, 1.182951897604908e-35, 6.8205245014905e-34, -2.513996415480774e-32, -9.234134056293066e-30, -7.921498086072196e-28, 3.400148741629175e-27, 7.66236138266761e-24, 6.179263998753673e-22, -2.6441186114512685e-20, -7.302441585688482e-18, -4.698615565713397e-17, 6.767966708074174e-14, -1.6590685059508953e-13, -6.322211878127304e-10, 5.81248499153435e-08, -2.7102041179473635e-06, 7.780046756214291e-05, -0.0014445842866814074, 0.01735584514139679, -0.13116997355235344, 0.5990108215731362, -1.6597924111198825, 1.5876830039530658, 49.74788126746814]"
22,"[-1.1906565423463041e-123, 2.5088526808977145e-121, 2.075758032275035e-120, -1.3914879085465386e-117, -1.3107269605998042e-115, -3.6395648595939255e-114, 5.4683052878887475e-112, 9.554963623716005e-110, 8.276883039667959e-108, 3.7626506503472733e-106, -1.2913851707273266e-104, -4.8296216097572865e-102, -5.95412536569817e-100, -4.841396792241432e-98, -2.3572456238928205e-96, 4.0766812969441066e-95, 2.531854464783269e-92, 3.4992300439285934e-90, 3.2441468045651983e-88, 2.0749613097738792e-86, 5.027945733673396e-85, -9.382669712824402e-83, -1.853426773525035e-80, -2.0653484310791495e-78, -1.6305246684035916e-76, -7.837382852342014e-75, 1.5455593550631355e-73, 8.871619165825116e-71, 1.2196407333015739e-68, 1.1092076196435193e-66, 6.571744273823126e-65, 6.111385074839796e-64, -4.576657075302694e-61, -7.2981473385448665e-59, -6.91617832379762e-57, -3.9810222314843905e-55, 4.302223206746788e-55, 3.406093030242378e-51, 4.7789636220096984e-49, 3.796101803720899e-47, 1.1806509704624315e-45, -1.6171035405972347e-43, -3.137732229924063e-41, -2.6806426617774238e-39, -7.009630581737994e-38, 1.4348192145848984e-35, 2.286208763527816e-33, 1.3394502003187267e-31, -5.4435563377747095e-30, -1.7089773111328403e-27, -1.1064260996599307e-25, 5.7624309060682856e-24, 1.4017499182110709e-21, 3.361794742609188e-20, -1.1099115367148019e-17, -6.112901168496884e-16, 9.906335472108865e-14, 3.4060755472645842e-12, -1.1330103701475308e-09, 8.712666622460257e-08, -3.7281981363326084e-06, 0.0001011449958836143, -0.0017850043906505932, 0.01996366697517831, -0.12948662132023298, 0.3750988589671851, 0.06376586323302878, -0.6518031562840179, 50.10742085774739]"
23,"[-5.9541728987905115e-123, 1.0146800401067242e-120, 2.641075919945864e-119, -4.099748065239941e-117, -5.227514272623064e-115, -2.704729340886615e-113, 5.202242956165945e-112, 2.5793802776207784e-109, 2.951738371005992e-107, 2.029921198549229e-105, 5.628835896520209e-104, -7.555587387472115e-102, -1.5073705568233585e-99, -1.5898802862215122e-97, -1.1444722067983709e-95, -4.3912970780742936e-94, 2.48784240906987e-92, 7.170241603901069e-90, 8.750480417396708e-88, 7.432968012674157e-86, 4.205831121202158e-84, 3.998364421084248e-83, -2.769398030499922e-80, -4.501844709487133e-78, -4.5645326729149363e-76, -3.249238205711175e-74, -1.2026373354687896e-72, 8.26770287354468e-71, 2.2146896448247512e-68, 2.6360837000769025e-66, 2.11809082461676e-64, 9.847654318956266e-63, -2.81517727895199e-61, -1.2183100802208127e-58, -1.5394426461165707e-56, -1.2169396687891376e-54, -4.706196424967261e-53, 3.384436147521688e-51, 8.60814490311147e-49, 9.051410187777688e-47, 5.1361299983595156e-45, -6.7721414531457e-44, -5.154249863540363e-41, -6.003883283178811e-39, -3.1415311373199675e-37, 1.2533647481042626e-35, 4.0856450880143374e-33, 3.46885816869491e-31, 1.9071155784334937e-30, -2.750101879839606e-27, -2.6486795756207394e-25, 1.8907529782663976e-24, 2.402041377289779e-21, 1.2284622789775786e-19, -1.5544932476522274e-17, -1.4409111616104958e-15, 1.347508513561656e-13, 8.97185761319223e-12, -1.77707849295311e-09, 1.1835055116021682e-07, -4.599493716780212e-06, 0.00011652539992284343, -0.0019818507290287526, 0.02243863848888978, -0.16222762589711917, 0.6846841765973531, -1.4037938276828255, 1.251473182112696, 49.67174027760824]"
24,"[6.66163693704723e-123, -1.1602687635585404e-120, -2.748547880519319e-119, 4.896251083751897e-117, 5.94866227186939e-115, 2.8729598210823835e-113, -8.563548208597873e-112, -3.1160739574067715e-109, -3.384642316770833e-107, -2.19114566250625e-105, -4.4326379191990866e-104, 1.0523988147298016e-101, 1.837088648628938e-99, 1.829559661171741e-97, 1.2289194991490649e-95, 3.685000228752066e-94, -4.2399908311955755e-92, -9.231582883651423e-90, -1.0424255315566513e-87, -8.267696412040253e-86, -4.0835412511612073e-84, 4.854573401281434e-83, 4.026248497770342e-80, 5.687712684037824e-78, 5.32649086745833e-76, 3.4164296164300426e-74, 8.134614604178685e-73, -1.5662813428573128e-70, -3.0144436599882325e-68, -3.225323679621761e-66, -2.330088356527175e-64, -8.003029909068071e-63, 7.422259090548327e-61, 1.7505161622919613e-58, 1.9350770299136949e-56, 1.341581700148025e-54, 3.1028136240847174e-53, -6.801633074606805e-51, -1.2126810334812823e-48, -1.1066330727738133e-46, -4.877243197130533e-45, 2.8054203560539055e-43, 7.808432740676932e-41, 7.643920439794143e-39, 2.913426320221569e-37, -2.996848733523994e-35, -6.000517183827518e-33, -4.14723403995563e-31, 7.701933293190804e-30, 4.366338781435987e-27, 3.3546971289774495e-25, -1.024869335443546e-23, -3.695810619538321e-21, -1.3192402524488345e-19, 2.6900381400000138e-17, 1.8968711270532426e-15, -2.3447312675740963e-13, -1.1434203712465266e-11, 2.832575018437571e-09, -2.0071620274605386e-07, 8.083032122095296e-06, -0.00020867757559401017, 0.003551892065400239, -0.03918312353662969, 0.26181672777167053, -0.8782132268690157, 0.626274626892038, -1.8388443695624765, 50.84884389241537]"
25,"[-2.476350192910199e-122, 4.101138229581531e-120, 1.1849407292968812e-118, -1.5622780783891323e-116, -2.11652427043955e-114, -1.1801340283710637e-112, 9.988168350761954e-112, 9.659593673574704e-109, 1.1789000419063856e-106, 8.649643784338265e-105, 3.0499902856666476e-103, -2.2755131215795808e-101, -5.575094575450823e-99, -6.298202700103363e-97, -4.8685408206189224e-95, -2.2573222206439585e-93, 4.650808062694323e-92, 2.4678628044229464e-89, 3.3258406333900314e-87, 3.040789245658385e-85, 1.9367941257092298e-83, 5.0084688323378005e-82, -7.903406438089141e-80, -1.594530231173961e-77, -1.7744412643605284e-75, -1.3960592648834605e-73, -6.755075553324201e-72, 1.1039134202902762e-70, 7.109374457155114e-68, 9.733264754850882e-66, 8.73091905438242e-64, 5.0383058923721025e-62, 3.308706247115182e-61, -3.6128075397743585e-58, -5.521143600112154e-56, -5.012411681233513e-54, -2.653716062668509e-52, 3.4404659569164404e-51, 2.6484074895760817e-48, 3.364005426404505e-46, 2.3908781949948085e-44, 4.265094736493152e-43, -1.4021147054392827e-40, -2.1339250138458975e-38, -1.4927166080244858e-36, -3.9421284305156555e-36, 1.1776796925497213e-32, 1.3308035501030608e-30, 4.235118200057474e-29, -6.769219022551676e-27, -9.526086452897564e-25, -2.1193978944079625e-23, 6.306718527924244e-21, 5.278880355417065e-19, -2.987634472926982e-17, -4.930946741711909e-15, 2.522440396885886e-13, 3.204273160373861e-11, -4.2600420665420265e-09, 2.395316488126091e-07, -8.323312023821538e-06, 0.0001999834834179058, -0.0035028465196424246, 0.045286400363068705, -0.4150929238497687, 2.4209185831622526, -7.086192185616395, 2.9420363154612867, 48.6047545115153]"
