"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",0.997072429424479,0.998883341348835,1.00597567820788,1.00125541621381,0.996912260065224,0.995361428064804,1.00289113306826,0.999658953521617,0.99804014617071,1.00325343538037
"Embeddings",0.981605225488915,0.959214225688985,0.95911962949602,0.976566506799965,0.960192189258714,0.965805200581343,0.968394358124062,0.948382808792919,0.969444628672656,0.974508649992064
"Interestingness",0.998198860314323,0.998503708393086,1.00401379255187,1.00101141950032,0.996108262296628,0.99545141592946,1.00157657891858,0.997598479252598,0.995731286406122,1.00379665853598
"Sentiment Score",0.760811761485597,0.740152974382382,0.723175340187188,0.751999749932604,0.753410352961482,0.732605474311495,0.731369757523503,0.745039125438121,0.718740270261208,0.721886300889114
"Maximum",0.955867833797257,0.968628454784521,0.970896937634151,0.967877367612295,0.968264831072578,0.953933833273389,0.977890177920668,0.964112972418616,0.967244542261388,0.959492568741283
"Minimum",0.933782475454859,0.949328231757891,0.933867620178557,0.954774025031387,0.941977528321705,0.946578573007809,0.950865023074453,0.938498325813117,0.932139910194142,0.947235471031665
"End Value",0.764197935853921,0.790071410390407,0.784132131525725,0.804348216570627,0.789020542366085,0.771930594699522,0.814559283360464,0.752513582611601,0.789036177002325,0.770203817120404
"Number of
Peaks",0.976001604768075,0.982673153221369,0.980053379366689,0.979895632229666,0.966334954352151,0.981898342572088,0.990077461500168,0.973976909474561,0.979864365973321,0.998280888949773
"Number of
Valleys",0.99451435554024,0.995929747993298,1.00534793977712,0.998593075382499,0.995823217492888,0.992860302752262,1.0040303585318,0.996352017662598,0.992501235313154,0.997045288393199
"Number of
Extrema",0.993775589359742,0.996804552849389,1.00057306971702,0.998439635339801,0.990470297871242,0.993149775410251,0.999285756517724,0.995796904446735,0.997184482727797,1.00653396877641
"Integral",0.909991521302078,0.947587314445061,0.931934337798185,0.940407366974153,0.932056206294218,0.924326800897764,0.956733804249817,0.932868367980294,0.925982681344363,0.940150501007642
"1st Derivative",0.885891710926353,0.875545078971008,0.890570535616651,0.89547174784783,0.891483195664632,0.86718513650457,0.892688410966687,0.864946678410282,0.90242092109384,0.86920091249501
"1st Derivative
Early",0.915948957352887,0.908582493766112,0.915516189057487,0.91491308428513,0.922250700343623,0.900079540929286,0.918822837236636,0.894084941677923,0.932405205313133,0.898518045929289
"1st Derivative
Ascending",0.883992198275037,0.873033329990476,0.89520349927997,0.900720767395589,0.892752579922922,0.877122816748734,0.894025717322745,0.868932622209506,0.892680446942723,0.875538778335644
"1st Derivative
Descending",0.945354529403726,0.944502990432722,0.946368055396085,0.944553919428845,0.94549847899782,0.926737834540187,0.949343772479364,0.934023879966742,0.963287831977537,0.928227571816273
"1st Derivative
End",0.896022561190591,0.890545980098101,0.903417761161294,0.912188590939353,0.90324359747876,0.883122170784703,0.904386745149448,0.87407890101521,0.906150891656266,0.889987397402795
"2nd Derivative",0.998021939607752,0.998806334802114,1.00598316608879,1.0016029863375,0.997256559656132,0.995384883273638,1.00337125621728,0.999617588279108,0.997741166866746,1.00312093961271
"2nd Derivative
Early",0.994834521133506,0.999755308650533,1.00529666426681,1.00181380327957,0.993447414360525,0.991663615850841,1.00422544216732,0.997933806994019,0.9963579660763,1.00338953065884
"2nd Derivative
Ascending",0.994206494046045,0.997851066762566,0.999693298483019,0.997007843556437,0.991781891458001,0.991646627913302,1.00886123527693,0.994495672569451,0.996456509717298,0.999514333312675
"2nd Derivative
Descending",0.998224736402537,0.995400317848725,1.00105633886989,0.998790400946627,0.996435898612795,0.994966943646486,1.00461703526044,0.994519747136993,0.997793817036357,0.9995402236366
"2nd Derivative
End",0.994801586411346,0.999330156276372,1.00542135464101,1.00098882873902,0.993902746431427,0.993105693316068,1.00441179339203,0.998550700279819,0.995690972753926,1.00367142188041
