"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",0.051084374743975,-0.00412470199089837,0.0211339703980098,0.0379171139836748,-0.00403597577840276,-0.0184679880019987,-0.0122190671832042,0.0158376469497857,0.00682993508405648,-0.00373963045821453
"Embeddings",0.192617472133122,0.281102270165629,0.306573030342467,0.221697261497333,0.269387335789238,0.239801866112289,0.258685537795896,0.323383980351755,0.238394976737901,0.237620098019891
"Interestingness",0.000231926342177788,0.0296509670344589,0.0794101544296524,0.0317252967949287,0.0379924418860311,0.0124129515845998,0.0496184850376148,0.0791068680298932,0.0710435500264757,0.00648985538637279
"Sentiment Score",0.646121562639159,0.672048658139548,0.696376520891405,0.660391360877094,0.65681365745119,0.676927523556794,0.684422155857764,0.666867873120314,0.693413249292831,0.694260583047877
"Maximum",0.283447787226712,0.244974538731369,0.263948179720934,0.256781597384088,0.238085072995705,0.287372311225851,0.22435357142911,0.267539426322525,0.2454236567037,0.292940967098075
"Minimum",0.351504813162863,0.312737525887052,0.374765996653628,0.302126607762965,0.327245266619381,0.309410707168682,0.320442444234371,0.344873711099393,0.356865021660971,0.328879500573112
"End Value",0.643073742423822,0.612489018768817,0.627940078736505,0.597507478907612,0.611364567504905,0.631090813297726,0.584156083795028,0.661294539206477,0.612288343795576,0.640942846738066
"Number of
Peaks",0.205875379239302,0.17968624210864,0.228843802446427,0.207341831013654,0.255087061030672,0.16752676142979,0.160598293938502,0.228824203129331,0.188497095868234,0.127204839840455
"Number of
Valleys",0.0732469823703629,0.0753264368946206,0.048554904350977,0.0771235615095575,0.0511369186297435,0.0698673807594156,0.0231356960235329,0.0837832084574859,0.114089085457739,0.12161395562311
"Number of
Extrema",0.0847467754099847,0.0639526063241671,0.112273587815135,0.0808557407196243,0.126503702575038,0.0633489328141667,0.0834316544112166,0.0921353183559535,0.046350750331288,0.00483019262924265
"Integral",0.411349719408169,0.321358944747615,0.37747162481529,0.344299028367346,0.35445719373469,0.370979749462067,0.30549435474027,0.359714004600404,0.372701881313357,0.348873924172172
"1st Derivative",0.458947264080255,0.481644567564128,0.46674672630884,0.450375089328537,0.44845095451273,0.490881483241384,0.455075244203999,0.504506272671231,0.426276753705506,0.498832233218236
"1st Derivative
Early",0.395287731113412,0.415340446019696,0.41576267952148,0.409171441092396,0.381775073649756,0.426562389475364,0.400929648809213,0.451719508046753,0.357553281159942,0.445039630461281
"1st Derivative
Ascending",0.461731541300758,0.487292523248687,0.457553628308119,0.439364371999196,0.445948549047879,0.472026087566113,0.453100274265378,0.496512526619932,0.446570623811999,0.488129389180581
"1st Derivative
Descending",0.319880816892339,0.324775916567287,0.340620198623291,0.332945420107568,0.317571553055087,0.365609587526602,0.321293352332471,0.359747341708705,0.266891522528624,0.382816855201308
"1st Derivative
End",0.43777453995239,0.453406762962729,0.44115528643451,0.415687769364239,0.424103842484098,0.460979351089566,0.432450030356877,0.489690690709599,0.418692311657697,0.461287028279181
"2nd Derivative",-0.0326810907497114,-0.0437679742636944,0.021784027690739,0.00547706223281921,-0.027430613659051,-0.0193103769413225,-0.0828418853793012,0.0356661671958669,-0.00151863268045496,0.02170225425083
"2nd Derivative
Early",0.0800409152244504,0.0114906453380582,0.0412227070943281,0.022255055105956,0.0964452622331114,0.100919222327493,0.0113332611189097,0.0614784881687739,0.0517143372421771,0.0241272631771564
"2nd Derivative
Ascending",0.0836029065354582,0.0559445845619557,0.123670715086752,0.0954349719533841,0.105006376232391,0.0829755891756447,-0.0273600388006176,0.109642287181721,0.052638665597229,0.0865987420159483
"2nd Derivative
Descending",0.0183386247101899,0.0847637967539958,0.114312956261347,0.0776246206003801,0.0407064423190986,0.0356608522533643,0.0196905217082195,0.120000663177338,0.0321751184958043,0.0913683510732571
"2nd Derivative
End",0.0871435518506871,0.0170981972183043,0.0385736385003875,0.0335859909692951,0.0885211364098887,0.0664860458846785,-0.00154602487601142,0.0498069222269331,0.0701256332932984,0.0173279437352668
